"","q_n","date","ISPREAD","EEFR","RET","SMB","HML","MOM","VXO","CSPREAD","TERM","TED","CISS","ADS"
"105",86,2007-04-15,1,4,6,1,3,4,4,1,1,1,3,7
"106",86,2007-04-16,1,4,6,1,3,4,4,1,1,1,3,7
"107",86,2007-04-17,1,4,6,1,3,4,4,1,1,1,3,7
"108",86,2007-04-18,1,4,6,1,3,4,4,1,1,1,3,7
"109",86,2007-04-19,1,4,6,1,3,4,4,1,1,1,3,7
"110",86,2007-04-20,1,4,6,1,3,4,4,1,1,1,3,7
"111",86,2007-04-21,1,4,6,1,3,4,4,1,1,1,3,7
"112",86,2007-04-22,1,4,6,1,3,4,4,1,1,1,3,7
"113",86,2007-04-23,1,4,6,1,3,4,4,1,1,1,3,7
"114",86,2007-04-24,1,4,6,1,3,4,4,1,1,1,3,7
"115",86,2007-04-25,1,4,7,1,3,4,4,1,1,1,3,7
"116",86,2007-04-26,1,4,6,1,3,4,4,1,1,1,3,7
"117",86,2007-04-27,1,4,6,1,3,5,4,1,1,1,3,7
"118",86,2007-04-28,1,4,6,1,3,5,4,1,1,1,3,7
"119",86,2007-04-29,1,4,6,1,3,5,4,1,1,1,3,7
"120",86,2007-04-30,1,4,6,2,3,4,4,1,1,1,3,7
"121",86,2007-05-01,1,4,6,2,3,4,4,1,1,1,3,7
"122",86,2007-05-02,1,4,6,3,3,4,4,1,1,1,3,7
"123",86,2007-05-03,1,4,6,3,3,4,4,1,1,1,3,7
"124",86,2007-05-04,1,4,6,3,3,4,4,1,1,1,3,7
"125",86,2007-05-05,1,4,6,3,3,4,4,1,1,1,3,7
"126",86,2007-05-06,1,4,6,3,3,4,4,1,1,1,3,6
"127",86,2007-05-07,1,4,6,3,3,4,4,1,1,1,3,7
"128",86,2007-05-08,1,4,6,3,3,4,4,1,1,1,3,7
"129",86,2007-05-09,1,4,6,2,3,4,4,1,1,1,3,7
"130",86,2007-05-10,1,4,6,3,3,4,4,1,1,1,3,7
"131",86,2007-05-11,1,4,6,3,3,4,4,1,1,1,3,7
"132",86,2007-05-12,1,4,6,3,3,4,4,1,1,1,3,7
"133",86,2007-05-13,1,4,6,3,3,4,4,1,1,1,3,6
"134",86,2007-05-14,1,4,6,3,3,4,4,1,1,1,3,7
"135",86,2007-05-15,1,4,6,3,3,5,4,1,1,1,3,6
"136",86,2007-05-16,1,4,6,2,3,5,4,1,1,1,3,6
"137",86,2007-05-17,1,4,6,2,3,4,4,1,1,1,3,6
"138",86,2007-05-18,1,4,6,2,3,4,4,1,1,1,3,7
"139",86,2007-05-19,1,4,6,2,3,4,4,1,1,1,3,6
"140",86,2007-05-20,1,4,6,2,3,4,4,1,1,1,3,7
"141",86,2007-05-21,1,4,6,3,3,4,4,1,1,1,3,7
"142",86,2007-05-22,1,4,6,3,3,4,4,1,1,1,3,7
"143",86,2007-05-23,1,4,6,3,3,4,4,1,1,1,3,7
"144",86,2007-05-24,1,4,6,2,3,4,4,1,1,1,3,7
"145",86,2007-05-25,1,4,6,2,3,4,4,1,1,1,3,6
"146",86,2007-05-26,1,4,6,2,3,4,4,1,1,1,3,6
"147",86,2007-05-27,1,4,6,2,3,4,4,1,1,1,3,7
"148",86,2007-05-28,1,4,6,3,3,4,4,1,1,1,3,7
"149",86,2007-05-29,1,4,6,2,3,4,4,1,1,1,3,7
"150",86,2007-05-30,1,4,6,3,3,4,4,1,1,1,3,7
"151",86,2007-05-31,1,4,6,3,3,4,4,1,1,1,3,6
"152",86,2007-06-01,1,4,6,3,3,4,4,1,1,1,3,5
"153",86,2007-06-02,1,4,6,3,3,4,4,1,1,1,3,6
"154",86,2007-06-03,1,4,6,3,3,4,4,1,1,1,3,7
"155",86,2007-06-04,1,4,6,2,3,4,4,1,1,1,3,8
"156",86,2007-06-05,1,4,6,2,3,4,4,1,1,1,3,6
"157",86,2007-06-06,1,4,6,3,3,5,4,1,1,1,3,6
"158",86,2007-06-07,1,4,6,2,3,4,4,1,1,1,3,6
"159",86,2007-06-08,1,4,6,2,3,4,4,1,1,1,3,6
"160",86,2007-06-09,1,4,6,2,3,4,4,1,1,1,3,7
"161",86,2007-06-10,1,4,6,2,3,4,4,1,1,1,3,7
"162",86,2007-06-11,1,4,6,2,3,4,4,1,1,1,3,7
"163",86,2007-06-12,1,4,6,3,3,4,4,1,1,1,3,7
"164",86,2007-06-13,1,4,6,3,3,4,4,1,1,1,3,8
"165",86,2007-06-14,1,4,6,3,3,5,4,1,1,1,3,7
"166",86,2007-06-15,1,4,6,2,3,4,4,1,1,1,3,8
"167",86,2007-06-16,1,4,6,2,3,4,4,1,1,1,3,7
"168",86,2007-06-17,1,4,6,2,3,4,4,1,1,1,3,7
"169",86,2007-06-18,1,4,6,2,3,4,4,1,1,1,3,7
"170",86,2007-06-19,1,4,6,3,3,4,4,1,1,1,3,8
"171",86,2007-06-20,1,4,6,3,3,4,4,1,1,1,3,7
"172",86,2007-06-21,1,4,6,3,3,5,4,1,1,1,3,8
"173",86,2007-06-22,1,4,6,3,3,4,4,1,1,1,3,7
"174",86,2007-06-23,1,4,6,3,3,4,4,1,1,1,3,7
"175",86,2007-06-24,1,4,6,3,3,4,4,1,1,1,3,7
"176",86,2007-06-25,1,4,6,3,3,4,4,1,2,1,3,7
"177",86,2007-06-26,1,4,6,3,3,4,4,1,2,1,3,7
"178",86,2007-06-27,1,4,6,3,3,5,4,1,3,1,3,7
"179",86,2007-06-28,1,4,6,2,3,4,4,2,1,1,3,7
"180",86,2007-06-29,1,4,6,2,3,4,4,1,2,1,3,7
"181",86,2007-06-30,1,4,6,2,3,4,4,1,2,1,3,8
"182",87,2007-07-01,1,4,6,1,4,4,2,1,1,1,3,7
"183",87,2007-07-02,1,4,6,1,4,4,2,1,1,1,3,7
"184",87,2007-07-03,1,4,6,1,4,4,2,1,1,1,3,7
"185",87,2007-07-04,1,4,6,1,4,4,2,1,1,1,3,7
"186",87,2007-07-05,1,4,6,1,4,4,2,1,1,1,3,7
"187",87,2007-07-06,1,4,6,1,4,4,2,1,1,1,3,7
"188",87,2007-07-07,1,4,6,1,4,4,2,1,1,1,3,7
"189",87,2007-07-08,1,4,6,1,4,4,2,1,1,1,3,7
"190",87,2007-07-09,1,4,6,1,4,4,3,1,1,1,3,7
"191",87,2007-07-10,1,4,6,1,4,4,2,1,1,1,3,8
"192",87,2007-07-11,1,4,6,1,4,4,2,1,1,1,3,8
"193",87,2007-07-12,1,4,6,1,4,4,2,1,1,1,3,8
"194",87,2007-07-13,1,4,6,1,3,4,2,1,1,1,3,8
"195",87,2007-07-14,1,4,6,1,3,4,2,1,1,1,3,8
"196",87,2007-07-15,1,4,6,1,3,4,2,1,1,1,3,8
"197",87,2007-07-16,1,4,6,1,3,4,2,1,1,1,3,8
"198",87,2007-07-17,1,4,6,1,3,4,2,1,1,1,3,8
"199",87,2007-07-18,1,4,6,1,4,4,2,1,1,1,3,8
"200",87,2007-07-19,1,4,6,1,3,4,2,1,1,1,3,8
"201",87,2007-07-20,1,4,6,1,3,4,2,1,1,1,3,8
"202",87,2007-07-21,1,4,6,1,3,4,2,1,1,1,3,8
"203",87,2007-07-22,1,4,6,1,3,4,2,1,1,1,3,8
"204",87,2007-07-23,1,4,6,1,4,4,2,1,1,1,3,8
"205",87,2007-07-24,1,4,6,1,3,4,2,1,1,1,3,8
"206",87,2007-07-25,1,4,6,1,3,4,2,1,1,1,3,8
"207",87,2007-07-26,1,4,6,1,3,4,2,1,1,1,3,8
"208",87,2007-07-27,1,4,6,1,3,4,2,1,1,1,3,8
"209",87,2007-07-28,1,4,6,1,3,4,2,1,1,1,3,8
"210",87,2007-07-29,1,4,6,1,3,4,2,1,1,1,3,8
"211",87,2007-07-30,1,4,6,3,3,4,2,1,1,1,3,8
"212",87,2007-07-31,1,4,6,3,3,4,2,0,1,1,3,8
"213",87,2007-08-01,1,4,6,3,3,4,2,0,1,1,3,8
"214",87,2007-08-02,1,4,6,3,3,4,2,0,1,1,3,8
"215",87,2007-08-03,1,4,6,3,3,4,2,1,1,1,3,8
"216",87,2007-08-04,1,4,6,3,3,4,2,1,1,1,3,8
"217",87,2007-08-05,1,4,6,3,3,4,2,1,1,1,3,8
"218",87,2007-08-06,1,4,6,3,3,4,2,1,1,1,3,8
"219",87,2007-08-07,1,4,6,3,3,4,2,1,1,1,3,8
"220",87,2007-08-08,1,4,6,3,3,4,2,1,1,1,3,8
"221",87,2007-08-09,1,4,6,3,3,4,2,1,1,1,3,8
"222",87,2007-08-10,1,4,6,3,3,4,2,1,1,1,3,8
"223",87,2007-08-11,1,4,6,3,3,4,2,1,1,1,3,8
"224",87,2007-08-12,1,4,6,3,3,4,2,1,1,1,3,8
"225",87,2007-08-13,1,4,6,3,3,4,2,0,1,1,3,8
"226",87,2007-08-14,1,4,6,2,3,4,2,0,1,1,3,8
"227",87,2007-08-15,1,4,6,3,3,4,2,0,1,1,3,8
"228",87,2007-08-16,1,4,6,3,3,4,2,0,1,1,3,8
"229",87,2007-08-17,1,4,6,3,3,4,2,0,1,1,3,8
"230",87,2007-08-18,1,4,6,3,3,4,2,0,1,1,3,8
"231",87,2007-08-19,1,4,6,3,3,4,2,0,1,1,3,8
"232",87,2007-08-20,1,4,6,3,3,4,2,0,1,1,3,8
"233",87,2007-08-21,1,4,6,3,3,4,2,0,1,1,3,8
"234",87,2007-08-22,1,4,6,3,3,4,3,0,1,1,3,8
"235",87,2007-08-23,1,4,6,3,3,4,2,0,1,1,3,8
"236",87,2007-08-24,1,4,6,2,3,5,2,0,1,1,3,8
"237",87,2007-08-25,1,4,6,2,3,5,2,0,1,1,3,8
"238",87,2007-08-26,1,4,6,2,3,5,2,0,1,1,3,8
"239",87,2007-08-27,1,4,6,3,3,4,2,0,1,1,3,8
"240",87,2007-08-28,1,4,6,2,3,4,2,0,1,1,3,7
"241",87,2007-08-29,1,4,6,2,3,4,2,0,1,1,3,7
"242",87,2007-08-30,1,4,6,3,3,4,2,0,1,1,3,8
"243",87,2007-08-31,1,4,6,3,3,4,2,0,1,1,3,8
"244",87,2007-09-01,1,4,6,3,3,4,2,0,1,1,3,8
"245",87,2007-09-02,1,4,6,3,3,4,2,0,1,1,3,7
"246",87,2007-09-03,1,4,6,3,3,5,2,0,1,1,3,7
"247",87,2007-09-04,1,4,6,3,3,4,2,0,1,1,3,8
"248",87,2007-09-05,1,4,6,3,3,4,2,0,1,1,3,8
"249",87,2007-09-06,1,4,6,3,3,4,2,0,1,1,3,8
"250",87,2007-09-07,1,4,6,3,3,4,2,0,1,1,3,7
"251",87,2007-09-08,1,4,6,3,3,4,2,0,1,1,3,8
"252",87,2007-09-09,1,4,6,3,3,4,2,0,1,1,3,8
"253",87,2007-09-10,1,4,6,3,3,4,2,0,1,1,3,8
"254",87,2007-09-11,1,4,6,3,3,4,2,0,1,1,3,8
"255",87,2007-09-12,1,4,6,3,3,4,2,0,1,1,3,8
"256",87,2007-09-13,1,4,6,3,3,4,2,0,1,1,3,8
"257",87,2007-09-14,1,4,6,3,3,4,2,0,1,1,3,8
"258",87,2007-09-15,1,4,6,3,3,4,2,0,1,1,3,8
"259",87,2007-09-16,1,4,6,3,3,4,2,0,1,1,3,8
"260",87,2007-09-17,1,4,6,3,3,4,2,0,1,1,3,8
"261",87,2007-09-18,1,4,6,2,3,4,3,0,1,1,3,8
"262",87,2007-09-19,1,4,6,3,3,4,2,0,1,1,3,8
"263",87,2007-09-20,1,4,6,3,3,4,2,0,1,1,3,8
"264",87,2007-09-21,1,4,6,3,3,4,2,0,2,1,3,8
"265",87,2007-09-22,1,4,6,3,3,4,2,0,2,1,3,8
"266",87,2007-09-23,1,4,6,3,3,4,2,0,2,1,3,8
"267",87,2007-09-24,1,4,6,3,3,4,3,0,1,1,3,8
"268",87,2007-09-25,1,4,6,3,3,4,3,0,1,2,3,8
"269",87,2007-09-26,1,4,6,3,3,4,2,0,1,2,3,8
"270",87,2007-09-27,1,4,6,3,3,4,2,0,1,2,3,8
"271",87,2007-09-28,1,4,6,2,3,4,2,0,1,1,3,8
"272",87,2007-09-29,1,4,6,2,3,4,2,0,1,1,3,8
"273",87,2007-09-30,1,4,6,2,3,4,2,0,1,1,3,8
"274",88,2007-10-01,1,4,6,1,4,5,2,1,1,1,3,6
"275",88,2007-10-02,1,4,6,1,4,5,2,1,1,1,3,7
"276",88,2007-10-03,1,4,6,1,4,5,2,1,1,1,3,7
"277",88,2007-10-04,1,4,6,1,4,4,2,1,1,1,3,7
"278",88,2007-10-05,1,4,6,1,4,4,2,1,1,1,3,7
"279",88,2007-10-06,1,4,6,1,4,4,2,1,1,1,3,7
"280",88,2007-10-07,1,4,6,1,4,4,2,1,1,1,3,7
"281",88,2007-10-08,1,4,6,1,4,4,2,1,1,1,3,7
"282",88,2007-10-09,1,4,6,1,4,4,3,1,1,1,3,7
"283",88,2007-10-10,1,4,6,1,4,5,2,1,1,1,3,7
"284",88,2007-10-11,1,4,6,1,4,5,2,1,1,1,3,7
"285",88,2007-10-12,1,4,6,1,4,5,2,1,1,1,3,7
"286",88,2007-10-13,1,4,6,1,4,5,2,1,1,1,3,7
"287",88,2007-10-14,1,4,6,1,4,5,2,1,1,1,3,7
"288",88,2007-10-15,1,4,6,1,4,4,2,1,1,1,3,7
"289",88,2007-10-16,1,4,6,1,4,5,2,1,1,1,3,7
"290",88,2007-10-17,1,4,6,1,4,5,2,1,1,1,3,7
"291",88,2007-10-18,1,4,6,1,4,5,2,1,1,1,3,7
"292",88,2007-10-19,1,4,6,1,4,4,2,1,1,1,3,7
"293",88,2007-10-20,1,4,6,1,4,4,2,1,1,1,3,7
"294",88,2007-10-21,1,4,6,1,4,4,2,1,1,1,3,7
"295",88,2007-10-22,1,4,6,1,4,5,2,1,1,1,3,6
"296",88,2007-10-23,1,4,6,1,4,4,2,1,1,1,3,6
"297",88,2007-10-24,1,4,6,1,4,4,2,1,1,1,3,6
"298",88,2007-10-25,1,4,6,1,4,4,2,1,1,1,3,7
"299",88,2007-10-26,1,4,6,1,4,4,2,1,1,1,3,7
"300",88,2007-10-27,1,4,6,1,4,4,2,1,1,1,3,6
"301",88,2007-10-28,1,4,6,1,4,4,2,1,1,1,3,6
"302",88,2007-10-29,1,4,6,3,4,4,2,1,1,1,3,6
"303",88,2007-10-30,1,4,6,3,4,5,2,1,1,1,3,6
"304",88,2007-10-31,1,4,6,3,4,4,2,1,1,1,3,6
"305",88,2007-11-01,1,4,6,3,4,5,2,1,1,1,3,6
"306",88,2007-11-02,1,4,6,2,4,5,3,1,1,1,3,6
"307",88,2007-11-03,1,4,6,2,4,5,3,1,1,1,3,6
"308",88,2007-11-04,1,4,6,2,4,5,3,1,1,1,3,6
"309",88,2007-11-05,1,4,6,2,4,4,3,1,1,1,3,6
"310",88,2007-11-06,1,4,6,3,4,4,2,1,1,1,3,6
"311",88,2007-11-07,1,4,6,2,4,4,2,1,1,1,3,6
"312",88,2007-11-08,1,4,6,3,4,4,2,1,1,1,3,6
"313",88,2007-11-09,1,4,6,2,4,4,2,1,1,1,3,6
"314",88,2007-11-10,1,4,6,2,4,4,2,1,1,1,3,6
"315",88,2007-11-11,1,4,6,2,4,4,2,1,1,1,3,6
"316",88,2007-11-12,1,4,6,2,4,4,2,1,1,1,3,6
"317",88,2007-11-13,1,4,6,3,4,4,2,1,1,1,3,6
"318",88,2007-11-14,1,4,6,2,4,4,2,1,1,1,3,6
"319",88,2007-11-15,1,4,6,3,3,4,2,1,1,1,3,6
"320",88,2007-11-16,1,4,6,3,4,4,2,1,1,1,3,6
"321",88,2007-11-17,1,4,6,3,4,4,2,1,1,1,3,6
"322",88,2007-11-18,1,4,6,3,4,4,2,1,1,1,3,6
"323",88,2007-11-19,1,4,6,3,4,4,2,1,1,1,3,6
"324",88,2007-11-20,1,4,6,3,4,4,2,1,1,1,3,6
"325",88,2007-11-21,1,4,6,2,3,4,2,1,1,1,3,6
"326",88,2007-11-22,1,4,6,2,4,4,2,1,1,1,3,6
"327",88,2007-11-23,1,4,6,3,4,4,2,1,1,1,3,6
"328",88,2007-11-24,1,4,6,3,4,4,2,1,1,1,3,6
"329",88,2007-11-25,1,4,6,3,4,4,2,1,1,1,3,6
"330",88,2007-11-26,1,4,6,3,4,4,2,1,1,1,3,6
"331",88,2007-11-27,1,4,6,3,4,4,2,1,1,1,3,6
"332",88,2007-11-28,1,4,6,3,4,4,2,1,1,1,3,7
"333",88,2007-11-29,1,4,6,3,4,5,2,1,1,1,3,7
"334",88,2007-11-30,1,4,6,2,3,4,2,1,1,1,3,7
"335",88,2007-12-01,1,4,6,2,3,4,2,1,1,1,3,8
"336",88,2007-12-02,1,4,6,2,3,4,2,1,1,1,3,8
"337",88,2007-12-03,1,4,6,3,4,5,2,1,1,1,3,9
"338",88,2007-12-04,1,4,6,3,3,5,2,1,1,1,3,9
"339",88,2007-12-05,1,4,6,3,4,5,2,1,1,1,3,9
"340",88,2007-12-06,1,4,6,3,4,5,2,1,1,1,3,7
"341",88,2007-12-07,1,4,6,2,4,4,2,1,1,1,3,9
"342",88,2007-12-08,1,4,6,2,4,4,2,1,1,1,3,9
"343",88,2007-12-09,1,4,6,2,4,4,2,1,1,1,3,9
"344",88,2007-12-10,1,4,6,3,3,4,2,1,1,1,3,9
"345",88,2007-12-11,1,4,6,3,4,4,2,1,1,1,3,9
"346",88,2007-12-12,1,4,6,3,3,4,2,1,1,1,3,9
"347",88,2007-12-13,1,4,6,3,3,4,2,1,1,1,3,9
"348",88,2007-12-14,1,4,6,3,3,5,2,1,1,1,3,9
"349",88,2007-12-15,1,4,6,3,3,5,2,1,1,1,3,9
"350",88,2007-12-16,1,4,6,3,3,5,2,1,1,1,3,9
"351",88,2007-12-17,1,4,6,3,3,5,2,1,1,1,3,9
"352",88,2007-12-18,1,4,6,3,3,5,2,1,1,1,3,9
"353",88,2007-12-19,1,4,6,2,3,5,2,1,1,1,3,9
"354",88,2007-12-20,1,4,6,3,4,4,2,1,1,1,3,9
"355",88,2007-12-21,1,4,6,3,3,4,2,1,2,1,3,8
"356",88,2007-12-22,1,4,6,3,3,4,2,1,2,1,3,8
"357",88,2007-12-23,1,4,6,3,3,4,2,1,2,1,3,6
"358",88,2007-12-24,1,4,6,3,3,5,2,1,1,1,3,9
"359",88,2007-12-25,1,4,6,3,3,5,2,1,1,1,3,9
"360",88,2007-12-26,1,4,6,2,3,5,2,1,1,1,3,8
"361",88,2007-12-27,1,4,6,3,3,4,2,1,1,1,3,8
"362",88,2007-12-28,1,4,6,2,3,4,2,1,2,1,3,8
"363",88,2007-12-29,1,4,6,2,3,4,2,1,2,1,3,8
"364",88,2007-12-30,1,4,6,2,3,4,2,1,2,1,3,8
"365",88,2007-12-31,1,4,6,2,3,4,2,1,1,1,3,8
"366",89,2008-01-01,1,4,6,1,4,4,2,3,1,1,3,7
"367",89,2008-01-02,1,4,6,1,4,5,2,3,1,1,3,6
"368",89,2008-01-03,1,4,6,1,4,4,2,3,1,1,3,7
"369",89,2008-01-04,1,4,6,1,4,4,2,3,1,1,3,7
"370",89,2008-01-05,1,4,6,1,4,4,2,3,1,1,3,7
"371",89,2008-01-06,1,4,6,1,4,4,2,3,1,1,3,7
"372",89,2008-01-07,1,4,6,1,4,5,2,3,1,1,3,7
"373",89,2008-01-08,1,4,6,1,4,4,2,3,1,1,3,7
"374",89,2008-01-09,1,4,6,1,4,4,2,3,1,1,3,7
"375",89,2008-01-10,1,4,6,1,4,4,2,3,1,1,3,7
"376",89,2008-01-11,1,4,6,1,4,4,3,3,1,1,3,7
"377",89,2008-01-12,1,4,6,1,4,4,3,3,1,1,3,6
"378",89,2008-01-13,1,4,6,1,4,4,3,3,1,1,3,6
"379",89,2008-01-14,1,4,6,1,4,4,2,3,1,1,3,6
"380",89,2008-01-15,1,4,6,1,4,4,2,3,1,1,3,6
"381",89,2008-01-16,1,4,6,1,4,4,2,3,1,1,3,6
"382",89,2008-01-17,1,4,6,1,4,5,2,3,1,1,3,6
"383",89,2008-01-18,1,4,6,1,4,4,2,3,1,1,3,6
"384",89,2008-01-19,1,4,6,1,4,4,2,3,1,1,3,7
"385",89,2008-01-20,1,4,6,1,4,4,2,3,1,1,3,7
